settlement_id	languages	names_ara_common	names_ara_common_other	names_eng_search	names_eng_translit	names_eng_translit_other	region_URI	source	top_type	top_size	coordinates	lon	lat
WASHQA_003W421N_R	['ara', 'eng']	وشقة	وشقة	Washqa	Wašqaŧ	Wašqaŧ	Andalus_RE	cornuData	regions	0	[-0.35371, 42.16109]	-0.35371	42.16109
BALANSIYYA_004W394N_R	['ara', 'eng']	بلنسية	بلنسية	Balansiyya	Balansiyyaŧ	Balansiyyaŧ	Andalus_RE	cornuData	regions	0	[-0.41486, 39.43516]	-0.41486	39.43516
SARAQUSA_009W416N_R	['ara', 'eng']	سرقوسة	سرقوسة، سرقوسطة	Saraqusa, Saraqusta	Saraqūsaŧ	Saraqūsaŧ, Saraqūsṭaŧ	Andalus_RE	cornuData	regions	0	[-0.9292, 41.63368]	-0.9292	41.63368
NAHRABRUH_009W417N_W	['ara', 'eng']	نهر أبره	نهر أبره	Nahr Abruh	Nahr Abruh	Nahr Abruh	Andalus_RE	cornuData	waters	0	[-0.99933, 41.7827]	-0.99933	41.7827
TUDMIR_013W379N_R	['ara', 'eng']	تدمير	تدمير	Tudmir	Tudmīr	Tudmīr	Andalus_RE	cornuData	regions	0	[-1.34462, 37.95834]	-1.34462	37.95834
TUTILA_016W420N_R	['ara', 'eng']	تطيلة	تطيلة	Tutila	Tuṭīlaŧ	Tuṭīlaŧ	Andalus_RE	cornuData	regions	0	[-1.62697, 42.04634]	-1.62697	42.04634
BAJJANA_024W369N_R	['ara', 'eng']	بجانة	بجانة	Bajjana	Baǧǧānaŧ	Baǧǧānaŧ	Andalus_RE	cornuData	regions	0	[-2.41826, 36.95657]	-2.41826	36.95657
WADIHIJARA_031W406N_R	['ara', 'eng']	وادي الحجارة	وادي الحجارة	Wadi al-Hijara	Wādī al-Ḥijāraŧ	Wādī al-Ḥijāraŧ	Andalus_RE	cornuData	regions	0	[-3.15111, 40.6491]	-3.15111	40.6491
LIBIRA_036W372N_R	['ara', 'eng']	لبيرة	لبيرة، إلبيرة	Libira, Ilbira	Libīraŧ	Libīraŧ, Ilbīraŧ	Andalus_RE	cornuData	regions	0	[-3.66814, 37.22734]	-3.66814	37.22734
TULAYTILA_040W398N_R	['ara', 'eng']	طليطلة	طليطلة	Tulaytila	Ṭulayṭilaŧ	Ṭulayṭilaŧ	Andalus_RE	cornuData	regions	0	[-4.0521, 39.88926]	-4.0521	39.88926
RAYYA_044W369N_R	['ara', 'eng']	رية	رية، ريه	Rayya, Rayyuh	Rayyaŧ	Rayyaŧ, Rayyuh	Andalus_RE	cornuData	regions	0	[-4.40368, 36.98351]	-4.40368	36.98351
MALIQA_044W367N_R	['ara', 'eng']	مالقة	مالقة	Maliqa	Māliqaŧ	Māliqaŧ	Andalus_RE	cornuData	regions	0	[-4.43066, 36.74791]	-4.43066	36.74791
FAHSBALLUT_048W386N_R	['ara', 'eng']	فحص البلوط	فحص البلوط	Fahs al-Ballut	Faḥṣ al-Ballūṭ	Faḥṣ al-Ballūṭ	Andalus_RE	cornuData	regions	0	[-4.89554, 38.63018]	-4.89554	38.63018
NAHRQURTUBA_051W377N_W	['ara', 'eng']	نهر قرطوبة	نهر قرطوبة	Nahr Qurtuba	Nahr Qurṭūbaŧ	Nahr Qurṭūbaŧ	Andalus_RE	cornuData	waters	0	[-5.11225, 37.75423]	-5.11225	37.75423
JAZIRAKHADRA_054W361N_R	['ara', 'eng']	جزيرة الخضراء	جزيرة الخضراء	Jazira al-Khadra	Ǧazīraŧ al-Ḫaḍrāʾ	Ǧazīraŧ al-Ḫaḍrāʾ	Andalus_RE	cornuData	regions	0	[-5.43793, 36.16359]	-5.43793	36.16359
FIRRISH_055W379N_R	['ara', 'eng']	فريش	فريش، قرسيس	Firrish, Qarsis	Firrīš	Firrīš, Qarsīs	Andalus_RE	cornuData	regions	0	[-5.58702, 37.95728]	-5.58702	37.95728
SHADHUNA_059W364N_R	['ara', 'eng']	شذونة	شذونة، شدونة	Shadhuna, Shaduna	Šaḏūnaŧ	Šaḏūnaŧ, Šadūnaŧ	Andalus_RE	cornuData	regions	0	[-5.91433, 36.4664]	-5.91433	36.4664
