topic	topicName	score	term
0	T01	0.146	ap
0	T01	0.035	boxes
0	T01	0.027	mallory
0	T01	0.025	invalid
0	T01	0.023	sale
0	T01	0.022	bags
0	T01	0.022	oil
0	T01	0.021	cases
0	T01	0.019	eggs
0	T01	0.018	bbls
0	T01	0.017	ginger
0	T01	0.015	ice
0	T01	0.015	lbs
0	T01	0.014	giles
0	T01	0.013	lesson
0	T01	0.013	extract
0	T01	0.012	tenth
0	T01	0.011	pages
0	T01	0.010	soap
0	T01	0.009	soda
1	T02	0.035	quartermaster
1	T02	0.029	stout
1	T02	0.028	july
1	T02	0.026	september
1	T02	0.026	height
1	T02	0.023	horse
1	T02	0.023	station
1	T02	0.022	depot
1	T02	0.020	rather
1	T02	0.020	manchester
1	T02	0.019	road
1	T02	0.017	deceased
1	T02	0.016	mourn
1	T02	0.014	daylight
1	T02	0.012	hotel
1	T02	0.011	city
1	T02	0.011	cavalry
1	T02	0.011	railroad
1	T02	0.010	marks
1	T02	0.010	humiliation
2	T03	0.084	company
2	T03	0.032	capt
2	T03	0.032	service
2	T03	0.023	order
2	T03	0.021	camp
2	T03	0.020	battalion
2	T03	0.018	va
2	T03	0.017	clock
2	T03	0.017	lieut
2	T03	0.016	artillery
2	T03	0.016	commandant
2	T03	0.014	regiment
2	T03	0.014	members
2	T03	0.014	office
2	T03	0.013	maryland
2	T03	0.012	captain
2	T03	0.011	notice
2	T03	0.011	virginia
2	T03	0.011	city
2	T03	0.010	attention
3	T04	0.049	cents
3	T04	0.044	notes
3	T04	0.041	currency
3	T04	0.041	bank
3	T04	0.032	bushel
3	T04	0.018	gold
3	T04	0.017	cent
3	T04	0.014	butter
3	T04	0.014	bacon
3	T04	0.014	lb
3	T04	0.013	carolina
3	T04	0.013	dealers
3	T04	0.013	sold
3	T04	0.012	rags
3	T04	0.010	issue
3	T04	0.010	money
3	T04	0.010	gallon
3	T04	0.009	authorized
3	T04	0.009	north
3	T04	0.009	city
4	T05	0.078	iron
4	T05	0.042	dozen
4	T05	0.039	burn
4	T05	0.030	chickahominy
4	T05	0.021	wooden
4	T05	0.016	cedar
4	T05	0.015	ring
4	T05	0.015	silver
4	T05	0.015	figures
4	T05	0.014	steel
4	T05	0.014	mare
4	T05	0.013	fat
4	T05	0.013	size
4	T05	0.012	gross
4	T05	0.012	timothy
4	T05	0.012	fish
4	T05	0.011	dixie
4	T05	0.010	ware
4	T05	0.009	gold
4	T05	0.009	doz
5	T06	0.103	county
5	T06	0.035	va
5	T06	0.022	virginia
5	T06	0.017	sheridan
5	T06	0.016	petersburg
5	T06	0.014	slightly
5	T06	0.012	fredericksburg
5	T06	0.011	cumberland
5	T06	0.011	frederick
5	T06	0.011	orange
5	T06	0.010	rappahannock
5	T06	0.010	hanover
5	T06	0.010	george
5	T06	0.009	albemarle
5	T06	0.009	chesterfield
5	T06	0.009	henry
5	T06	0.009	spotsylvania
5	T06	0.009	powhatan
5	T06	0.008	warren
5	T06	0.008	james
6	T07	0.105	treasury
6	T07	0.103	bonds
6	T07	0.047	cent
6	T07	0.023	notes
6	T07	0.023	january
6	T07	0.023	exchange
6	T07	0.023	interest
6	T07	0.022	coupon
6	T07	0.021	payment
6	T07	0.019	registered
6	T07	0.019	april
6	T07	0.017	department
6	T07	0.017	stock
6	T07	0.014	loan
6	T07	0.011	sold
6	T07	0.011	buying
6	T07	0.010	holders
6	T07	0.010	pay
6	T07	0.008	july
6	T07	0.008	million
7	T08	0.087	hair
7	T08	0.043	mulatto
7	T08	0.042	wanted
7	T08	0.041	corpus
7	T08	0.040	habeas
7	T08	0.036	writ
7	T08	0.032	paid
7	T08	0.021	girl
7	T08	0.019	skin
7	T08	0.016	se
7	T08	0.016	slender
7	T08	0.015	trunk
7	T08	0.015	thick
7	T08	0.015	pay
7	T08	0.015	highest
7	T08	0.012	sixteen
7	T08	0.010	suit
7	T08	0.010	wages
7	T08	0.009	street
7	T08	0.009	cooking
8	T09	0.071	address
8	T09	0.053	supplies
8	T09	0.041	libby
8	T09	0.038	box
8	T09	0.038	army
8	T09	0.031	dickinson
8	T09	0.026	dollar
8	T09	0.025	pairs
8	T09	0.023	descriptive
8	T09	0.020	dutch
8	T09	0.016	use
8	T09	0.015	selma
8	T09	0.013	copies
8	T09	0.011	auctioneer
8	T09	0.011	au
8	T09	0.011	copy
8	T09	0.010	book
8	T09	0.009	purchase
8	T09	0.009	stones
8	T09	0.009	embraces
9	T10	0.033	john
9	T10	0.033	wm
9	T10	0.029	smith
9	T10	0.015	page
9	T10	0.015	jas
9	T10	0.014	henry
9	T10	0.014	davis
9	T10	0.012	va
9	T10	0.011	williams
9	T10	0.011	chas
9	T10	0.010	rev
9	T10	0.010	relatives
9	T10	0.009	baptist
9	T10	0.009	samuel
9	T10	0.009	dispatch
9	T10	0.009	james
9	T10	0.009	howard
9	T10	0.009	virginia
9	T10	0.008	gordon
9	T10	0.008	david
10	T11	0.085	brigadier
10	T11	0.072	gold
