source	target	weight
ap	boxes	0.0905
ap	mallory	0.0865
ap	invalid	0.08549999999999999
ap	sale	0.08449999999999999
ap	bags	0.08399999999999999
ap	oil	0.08399999999999999
ap	cases	0.08349999999999999
ap	eggs	0.08249999999999999
ap	bbls	0.08199999999999999
boxes	mallory	0.031
boxes	invalid	0.030000000000000002
boxes	sale	0.029
bags	boxes	0.0285
boxes	oil	0.0285
boxes	cases	0.028000000000000004
boxes	eggs	0.027000000000000003
bbls	boxes	0.026500000000000003
invalid	mallory	0.026000000000000002
mallory	sale	0.025
bags	mallory	0.0245
mallory	oil	0.0245
cases	mallory	0.024
eggs	mallory	0.023
bbls	mallory	0.0225
invalid	sale	0.024
bags	invalid	0.0235
invalid	oil	0.0235
cases	invalid	0.023
eggs	invalid	0.022
bbls	invalid	0.0215
bags	sale	0.0225
oil	sale	0.0225
cases	sale	0.022
eggs	sale	0.020999999999999998
bbls	sale	0.020499999999999997
bags	oil	0.022
bags	cases	0.0215
bags	eggs	0.020499999999999997
bags	bbls	0.019999999999999997
cases	oil	0.0215
eggs	oil	0.020499999999999997
bbls	oil	0.019999999999999997
cases	eggs	0.02
bbls	cases	0.0195
bbls	eggs	0.0185
quartermaster	stout	0.032
july	quartermaster	0.0315
quartermaster	september	0.0305
height	quartermaster	0.0305
horse	quartermaster	0.029
quartermaster	station	0.029
depot	quartermaster	0.0285
quartermaster	rather	0.027500000000000004
manchester	quartermaster	0.027500000000000004
july	stout	0.0285
september	stout	0.0275
height	stout	0.0275
horse	stout	0.026000000000000002
station	stout	0.026000000000000002
depot	stout	0.025500000000000002
rather	stout	0.0245
manchester	stout	0.0245
july	september	0.027
height	july	0.027
horse	july	0.025500000000000002
july	station	0.025500000000000002
depot	july	0.025
july	rather	0.024
july	manchester	0.024
height	september	0.026
horse	september	0.0245
september	station	0.0245
depot	september	0.024
rather	september	0.023
manchester	september	0.023
height	horse	0.0245
height	station	0.0245
depot	height	0.024
height	rather	0.023
height	manchester	0.023
horse	station	0.023
depot	horse	0.0225
horse	rather	0.0215
horse	manchester	0.0215
depot	station	0.0225
rather	station	0.0215
manchester	station	0.0215
depot	rather	0.020999999999999998
depot	manchester	0.020999999999999998
manchester	rather	0.02
capt	company	0.058
company	service	0.058
company	order	0.053500000000000006
camp	company	0.052500000000000005
battalion	company	0.052000000000000005
company	va	0.051000000000000004
clock	company	0.0505
company	lieut	0.0505
artillery	company	0.05
capt	service	0.032
capt	order	0.0275
camp	capt	0.026500000000000003
battalion	capt	0.026000000000000002
capt	va	0.025
capt	clock	0.0245
capt	lieut	0.0245
artillery	capt	0.024
order	service	0.0275
camp	service	0.026500000000000003
battalion	service	0.026000000000000002
service	va	0.025
clock	service	0.0245
lieut	service	0.0245
artillery	service	0.024
camp	order	0.022
battalion	order	0.0215
order	va	0.020499999999999997
clock	order	0.02
lieut	order	0.02
artillery	order	0.0195
battalion	camp	0.0205
camp	va	0.0195
camp	clock	0.019000000000000003
camp	lieut	0.019000000000000003
artillery	camp	0.018500000000000003
battalion	va	0.019
battalion	clock	0.018500000000000003
battalion	lieut	0.018500000000000003
artillery	battalion	0.018000000000000002
clock	va	0.0175
lieut	va	0.0175
artillery	va	0.017
clock	lieut	0.017
artillery	clock	0.0165
artillery	lieut	0.0165
cents	notes	0.0465
cents	currency	0.045
bank	cents	0.045
bushel	cents	0.0405
cents	gold	0.0335
cent	cents	0.033
butter	cents	0.0315
bacon	cents	0.0315
cents	lb	0.0315
currency	notes	0.042499999999999996
bank	notes	0.042499999999999996
bushel	notes	0.038
gold	notes	0.031
cent	notes	0.0305
butter	notes	0.028999999999999998
bacon	notes	0.028999999999999998
lb	notes	0.028999999999999998
bank	currency	0.041
bushel	currency	0.036500000000000005
currency	gold	0.0295
cent	currency	0.029
butter	currency	0.0275
bacon	currency	0.0275
currency	lb	0.0275
bank	bushel	0.036500000000000005
bank	gold	0.0295
bank	cent	0.029
bank	butter	0.0275
bacon	bank	0.0275
bank	lb	0.0275
bushel	gold	0.025
bushel	cent	0.0245
bushel	butter	0.023
bacon	bushel	0.023
bushel	lb	0.023
cent	gold	0.0175
butter	gold	0.016
bacon	gold	0.016
gold	lb	0.016
butter	cent	0.0155
bacon	cent	0.0155
cent	lb	0.0155
bacon	butter	0.014
butter	lb	0.014
bacon	lb	0.014
dozen	iron	0.06
burn	iron	0.058499999999999996
chickahominy	iron	0.054
iron	wooden	0.0495
cedar	iron	0.047
iron	ring	0.0465
iron	silver	0.0465
figures	iron	0.0465
iron	steel	0.046
burn	dozen	0.0405
chickahominy	dozen	0.036000000000000004
dozen	wooden	0.0315
cedar	dozen	0.029
dozen	ring	0.0285
dozen	silver	0.0285
dozen	figures	0.0285
dozen	steel	0.028
burn	chickahominy	0.0345
burn	wooden	0.03
burn	cedar	0.0275
burn	ring	0.027
burn	silver	0.027
burn	figures	0.027
burn	steel	0.0265
chickahominy	wooden	0.025500000000000002
cedar	chickahominy	0.023
chickahominy	ring	0.0225
chickahominy	silver	0.0225
chickahominy	figures	0.0225
chickahominy	steel	0.022
cedar	wooden	0.018500000000000003
ring	wooden	0.018000000000000002
silver	wooden	0.018000000000000002
figures	wooden	0.018000000000000002
steel	wooden	0.0175
cedar	ring	0.0155
cedar	silver	0.0155
cedar	figures	0.0155
cedar	steel	0.015
ring	silver	0.015
figures	ring	0.015
ring	steel	0.014499999999999999
figures	silver	0.015
silver	steel	0.014499999999999999
figures	steel	0.014499999999999999
county	va	0.069
county	virginia	0.0625
county	sheridan	0.06
county	petersburg	0.0595
county	slightly	0.058499999999999996
county	fredericksburg	0.057499999999999996
county	cumberland	0.056999999999999995
county	frederick	0.056999999999999995
county	orange	0.056999999999999995
va	virginia	0.0285
sheridan	va	0.026000000000000002
petersburg	va	0.025500000000000002
slightly	va	0.0245
fredericksburg	va	0.0235
cumberland	va	0.023
frederick	va	0.023
orange	va	0.023
sheridan	virginia	0.0195
petersburg	virginia	0.019
slightly	virginia	0.018
fredericksburg	virginia	0.017
cumberland	virginia	0.0165
frederick	virginia	0.0165
orange	virginia	0.0165
petersburg	sheridan	0.0165
sheridan	slightly	0.0155
fredericksburg	sheridan	0.0145
cumberland	sheridan	0.014
frederick	sheridan	0.014
orange	sheridan	0.014
petersburg	slightly	0.015
fredericksburg	petersburg	0.014
cumberland	petersburg	0.0135
frederick	petersburg	0.0135
orange	petersburg	0.0135
fredericksburg	slightly	0.013000000000000001
cumberland	slightly	0.0125
frederick	slightly	0.0125
orange	slightly	0.0125
cumberland	fredericksburg	0.0115
frederick	fredericksburg	0.0115
fredericksburg	orange	0.0115
cumberland	frederick	0.011
cumberland	orange	0.011
frederick	orange	0.011
bonds	treasury	0.104
cent	treasury	0.076
notes	treasury	0.064
january	treasury	0.064
exchange	treasury	0.064
interest	treasury	0.064
coupon	treasury	0.0635
payment	treasury	0.063
registered	treasury	0.062
bonds	cent	0.075
bonds	notes	0.063
bonds	january	0.063
bonds	exchange	0.063
bonds	interest	0.063
bonds	coupon	0.0625
bonds	payment	0.062
bonds	registered	0.061
cent	notes	0.035
cent	january	0.035
cent	exchange	0.035
cent	interest	0.035
cent	coupon	0.0345
cent	payment	0.034
cent	registered	0.033
january	notes	0.023
exchange	notes	0.023
interest	notes	0.023
coupon	notes	0.0225
notes	payment	0.022
notes	registered	0.020999999999999998
exchange	january	0.023
interest	january	0.023
coupon	january	0.0225
january	payment	0.022
january	registered	0.020999999999999998
exchange	interest	0.023
coupon	exchange	0.0225
exchange	payment	0.022
exchange	registered	0.020999999999999998
coupon	interest	0.0225
interest	payment	0.022
interest	registered	0.020999999999999998
coupon	payment	0.0215
coupon	registered	0.020499999999999997
payment	registered	0.02
hair	mulatto	0.065
hair	wanted	0.0645
corpus	hair	0.064
habeas	hair	0.0635
hair	writ	0.0615
hair	paid	0.0595
girl	hair	0.054
hair	skin	0.053
hair	se	0.0515
mulatto	wanted	0.042499999999999996
corpus	mulatto	0.041999999999999996
habeas	mulatto	0.041499999999999995
mulatto	writ	0.03949999999999999
mulatto	paid	0.0375
girl	mulatto	0.032
mulatto	skin	0.031
mulatto	se	0.0295
corpus	wanted	0.0415
habeas	wanted	0.041
wanted	writ	0.039
paid	wanted	0.037000000000000005
girl	wanted	0.0315
skin	wanted	0.0305
se	wanted	0.029
corpus	habeas	0.0405
corpus	writ	0.0385
corpus	paid	0.036500000000000005
corpus	girl	0.031
corpus	skin	0.03
corpus	se	0.0285
habeas	writ	0.038
habeas	paid	0.036000000000000004
girl	habeas	0.0305
habeas	skin	0.0295
habeas	se	0.028
paid	writ	0.034
girl	writ	0.028499999999999998
skin	writ	0.027499999999999997
se	writ	0.026
girl	paid	0.026500000000000003
paid	skin	0.025500000000000002
paid	se	0.024
girl	skin	0.02
girl	se	0.018500000000000003
se	skin	0.0175
address	supplies	0.062
address	libby	0.055999999999999994
address	box	0.05449999999999999
address	army	0.05449999999999999
address	dickinson	0.051
address	dollar	0.048499999999999995
address	pairs	0.048
address	descriptive	0.047
address	dutch	0.0455
libby	supplies	0.047
box	supplies	0.0455
army	supplies	0.0455
dickinson	supplies	0.041999999999999996
dollar	supplies	0.0395
pairs	supplies	0.039
descriptive	supplies	0.038
dutch	supplies	0.0365
box	libby	0.0395
army	libby	0.0395
dickinson	libby	0.036000000000000004
dollar	libby	0.0335
libby	pairs	0.033
descriptive	libby	0.032
dutch	libby	0.0305
army	box	0.038
box	dickinson	0.0345
box	dollar	0.032
box	pairs	0.0315
box	descriptive	0.0305
box	dutch	0.028999999999999998
army	dickinson	0.0345
army	dollar	0.032
army	pairs	0.0315
army	descriptive	0.0305
army	dutch	0.028999999999999998
dickinson	dollar	0.028499999999999998
dickinson	pairs	0.028
descriptive	dickinson	0.027
dickinson	dutch	0.025500000000000002
dollar	pairs	0.025500000000000002
descriptive	dollar	0.0245
dollar	dutch	0.023
descriptive	pairs	0.024
dutch	pairs	0.0225
descriptive	dutch	0.0215
john	wm	0.033
john	smith	0.031
john	page	0.024
jas	john	0.024
henry	john	0.0235
davis	john	0.0235
john	va	0.0225
john	williams	0.022
chas	john	0.022
smith	wm	0.031
page	wm	0.024
jas	wm	0.024
henry	wm	0.0235
davis	wm	0.0235
va	wm	0.0225
williams	wm	0.022
chas	wm	0.022
page	smith	0.022
jas	smith	0.022
henry	smith	0.021500000000000002
davis	smith	0.021500000000000002
smith	va	0.0205
smith	williams	0.02
chas	smith	0.02
jas	page	0.015
henry	page	0.014499999999999999
davis	page	0.014499999999999999
page	va	0.0135
page	williams	0.013
chas	page	0.013
henry	jas	0.014499999999999999
davis	jas	0.014499999999999999
jas	va	0.0135
jas	williams	0.013
chas	jas	0.013
davis	henry	0.014
henry	va	0.013000000000000001
henry	williams	0.0125
chas	henry	0.0125
davis	va	0.013000000000000001
davis	williams	0.0125
chas	davis	0.0125
va	williams	0.0115
chas	va	0.0115
chas	williams	0.011
brigadier	gold	0.0785
brigadier	worth	0.0555
brigadier	runaways	0.05500000000000001
acquitted	brigadier	0.053500000000000006
brigadier	claiming	0.052000000000000005
agents	brigadier	0.051500000000000004
brigadier	watches	0.05
brigadier	yards	0.0495
bloom	brigadier	0.0495
gold	worth	0.048999999999999995
gold	runaways	0.0485
acquitted	gold	0.047
claiming	gold	0.0455
agents	gold	0.045
gold	watches	0.0435
gold	yards	0.043
bloom	gold	0.043
runaways	worth	0.025500000000000002
acquitted	worth	0.024
claiming	worth	0.0225
agents	worth	0.022
watches	worth	0.020499999999999997
worth	yards	0.02
bloom	worth	0.02
acquitted	runaways	0.0235
claiming	runaways	0.022
agents	runaways	0.0215
runaways	watches	0.02
runaways	yards	0.0195
bloom	runaways	0.0195
acquitted	claiming	0.020499999999999997
acquitted	agents	0.019999999999999997
acquitted	watches	0.0185
acquitted	yards	0.018
acquitted	bloom	0.018
agents	claiming	0.0185
claiming	watches	0.017
claiming	yards	0.0165
bloom	claiming	0.0165
agents	watches	0.0165
agents	yards	0.016
agents	bloom	0.016
watches	yards	0.014499999999999999
bloom	watches	0.014499999999999999
bloom	yards	0.014
general	officers	0.066
general	officer	0.05499999999999999
general	orders	0.05499999999999999
general	major	0.046
general	order	0.046
bureau	general	0.0445
duty	general	0.044
commandants	general	0.044
command	general	0.0435
officer	officers	0.049
officers	orders	0.049
major	officers	0.04
officers	order	0.04
bureau	officers	0.0385
duty	officers	0.038
commandants	officers	0.038
command	officers	0.0375
officer	orders	0.038
major	officer	0.028999999999999998
officer	order	0.028999999999999998
bureau	officer	0.0275
duty	officer	0.027
commandants	officer	0.027
command	officer	0.0265
major	orders	0.028999999999999998
order	orders	0.028999999999999998
bureau	orders	0.0275
duty	orders	0.027
commandants	orders	0.027
command	orders	0.0265
major	order	0.02
bureau	major	0.018500000000000003
duty	major	0.018000000000000002
commandants	major	0.018000000000000002
command	major	0.0175
bureau	order	0.018500000000000003
duty	order	0.018000000000000002
commandants	order	0.018000000000000002
command	order	0.0175
bureau	duty	0.0165
bureau	commandants	0.0165
bureau	command	0.016
commandants	duty	0.016
command	duty	0.0155
command	commandants	0.0155
certificates	treasurer	0.0665
certificates	notes	0.066
applications	certificates	0.0605
certificates	secretary	0.0605
certificates	payable	0.059500000000000004
certificates	issued	0.058
certificates	surgeon	0.0555
certificates	rate	0.052000000000000005
certificates	eod	0.0505
notes	treasurer	0.0485
applications	treasurer	0.043
secretary	treasurer	0.043
payable	treasurer	0.042
issued	treasurer	0.0405
surgeon	treasurer	0.038
rate	treasurer	0.0345
eod	treasurer	0.033
applications	notes	0.042499999999999996
notes	secretary	0.042499999999999996
notes	payable	0.0415
issued	notes	0.04
notes	surgeon	0.0375
notes	rate	0.034
eod	notes	0.0325
applications	secretary	0.037
applications	payable	0.036000000000000004
applications	issued	0.0345
applications	surgeon	0.032
applications	rate	0.028499999999999998
applications	eod	0.027
payable	secretary	0.036000000000000004
issued	secretary	0.0345
secretary	surgeon	0.032
rate	secretary	0.028499999999999998
eod	secretary	0.027
issued	payable	0.0335
payable	surgeon	0.031
payable	rate	0.027500000000000004
eod	payable	0.026000000000000002
issued	surgeon	0.0295
issued	rate	0.026000000000000002
eod	issued	0.0245
rate	surgeon	0.0235
eod	surgeon	0.022
eod	rate	0.018500000000000003
dr	mr	0.045
john	mr	0.0445
james	mr	0.0405
miss	mr	0.0395
mr	thomas	0.0385
mr	rev	0.038
mr	william	0.037
jones	mr	0.0365
