topics	score
2	0.407531
3	0.428288
4	0.543767
5	0.528560
6	0.510344
7	0.544261
8	0.567618
9	0.553696
10	0.550994
11	0.542966
12	0.539383
13	0.515255
14	0.574606
15	0.521304
16	0.577710
17	0.529288
18	0.556727
19	0.505399
20	0.515291
21	0.481827
22	0.501339
23	0.488132
24	0.481726
25	0.470792
26	0.495361
27	0.453343
28	0.481266
29	0.485203
30	0.502339
31	0.507261
32	0.480164
33	0.485070
34	0.474017
35	0.511189
36	0.503195
37	0.489512
38	0.487653
39	0.480109
40	0.495520
41	0.460607
42	0.482660
43	0.451415
44	0.471318
45	0.440673
46	0.437711
47	0.470251
48	0.453131
49	0.449453
50	0.451646
51	0.456091
52	0.478542
53	0.451247
54	0.454691
55	0.444469
56	0.429959
57	0.456063
58	0.442456
59	0.451217
60	0.443880
